song,artist,class
Sloop John B,The Beach Boys,0
Slop Time,The Sherrys,9
Slow,Kylie Minogue,9
Slow And Easy,Zapp & Roger,4
Slow And Sexy,Shabba Ranks (Featuring Johnny Gill),3
Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,4
Slow Dance In A Parking Lot,Jordan Davis,3
Slow Dancin',Peabo Bryson,8
Slow Dancin' Don't Turn Me On,Addrisi Brothers,1
Slow Dancing,Funky Kings,6
Slow Dancing In The Dark,Joji,6
Slow Down,Selena Gomez,2
Slow Down,Bobby Valentino,0
Slow Down,The Beatles,2
Slow Drag,The Intruders,5
Slow Hand,The Pointer Sisters,0
Slow Hands,Niall Horan,1
Slow Jams,Quincy Jones Feat. Babyface & Tamia With Portrai,6
Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,0
Slow Love,Doc Box & B. Fresh,5
Slow Me Down,Sara Evans,8
Slow Motion,Trey Songz,2
Slow Motion,Juvenile Featuring Soulja Slim,0
Slow Motion,Color Me Badd,1
Slow Motion (Part 1),Johnny Williams,7
Slow Ride,Foghat,1
Slow Twistin',Chubby Checker (with Dee Dee Sharp),0
Slowdown,John Miles,3
Slowly,Stacy Earl,5
Slum Baby,Booker T. & The MG's,8
Slumber Party,Britney Spears Featuring Tinashe,8
Smack Dab In The Middle,Ray Charles and his Orchestra,5
Smack My Bitch Up,The Prodigy,8
Smack That,Akon Featuring Eminem,0
Small Beginnings,Flash,2
Small Paradise,John Cougar,8
Small Sad Sam,Phil McLean,2
Small Talk,Katy Perry,8
Small Town,John Mellencamp,0
Small Town Boy,Dustin Lynch,3
Small Town Boy,Bronski Beat,4
Small Town Girl,John Cafferty & The Beaver Brown Band,6
Small Town Southern Man,Alan Jackson,4
Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,6
Small Town USA,Justin Moore,4
Small World,Huey Lewis & The News,2
Small World,Johnny Mathis,1
Smarty Pants,First Choice,5
Smell Of Incense,Southwest F.O.B.,5
Smells Like Nirvana,Weird Al Yankovic,3
Smells Like Teen Spirit,Nirvana,0
Smile,Avril Lavigne,6
Smile,Juice WRLD & The Weeknd,0
Smile,Lily Allen,4
Smile,Uncle Kracker,3
Smile,JAY-Z Featuring Gloria Carter,5
Smile,Lonestar,3
Smile,Scarface Featuring 2Pac & Johnny P,1
Smile,Vitamin C Featuring Lady Saw,1
Smile,Betty Everett & Jerry Butler,4
Smile,Ferrante & Teicher,9
Smile,Timi Yuro,4
Smile,Tony Bennett,7
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,5
Smile A Little Smile For Me,The Flying Machine,0
Smile Back,Mac Miller,5
Smilin',Sly & The Family Stone,4
Smiling Faces Sometimes,The Undisputed Truth,0
Smiling Islands,Robbie Patton,5
