song,artist,class,year,danceability,duration,energy,key,loudness,song_hotttnesss,tempo,time_signature
"\"(You're) Timeless To Me (\"\"Hairspray\"\")\"",John Travolta / Christopher Walken,10,0,0.0,287.16363,0.0,4,-9.021,0.5306630301441494,128.685,4
"\"Barking Dogs (From \"\"Piouhgd\"\")\"",Butthole Surfers,10,0,0.0,450.84689,0.0,4,-9.063,0.593943075901947,130.586,4
"\"Beneath The Valley Of The Underdog (Album Version + Hidden Track \"\"Talkin' Randy Tate's...\"\")\"",Mudhoney,10,1998,0.0,519.13098,0.0,0,-6.591,0.5147533243380469,131.642,3
"\"Boom-Shack-A-Lack (12\"\" Mmix / Bonus Tra)\"",Junior Reid,10,1998,0.0,326.00771,0.0,6,-8.28,0.2748995150433355,158.242,4
"\"Born In Louisiana [with Clarence \"\"Gatemouth\"\" Brown] [Live]\"",Kenny Wayne Shepherd,10,0,0.0,386.48118,0.0,7,-7.357,0.5184187065975314,90.514,1
"\"Carnival (from \"\"Black Orpheus\"\")\"",Tito Puente,10,0,0.0,273.81506,0.0,0,-13.906,0.22914410371660274,102.308,4
"\"Der Wind Hat Mir Ein Lied Erzählt (from \"\"La Habanera\"\")\"",Quadro Nuevo,10,0,0.0,221.28281,0.0,2,-10.566,0.21508031850922793,110.551,3
"\"Dirty Movies\"\" (Album Version)\"",Van Halen,10,1981,0.0,248.00608,0.0,1,-6.635,0.5890156588598198,184.012,4
"\"Got To Keep On (12\"\" Version)\"",Cookie Crew,10,1989,0.0,282.33098,0.0,8,-10.713,0.0,85.962,5
"\"Générique - \"\"le gendarme et les gendarmettes\"",Raymond Lefèvre,10,0,0.0,114.99057,0.0,5,-9.831,0.0,112.445,3
"\"How To Say \"\"Rip Them Off\"\"_ Repeat After Me\"",Melt Banana,10,0,0.0,29.33506,0.0,2,-2.124,0.0,124.986,1
"\"Let's Call Him \"\"Andre\"",Bruce Rowland,10,0,0.0,138.762,0.0,2,-26.458,0.19129994162389227,235.318,4
"\"Medley : \"\"Traces\"\" (Live)\"",Jean-Jacques Goldman,10,0,0.0,558.44526,0.0,0,-10.91,0.0,139.286,1
"\"Not Homophobic/The Word Is \"\"Cock\"\" (Spoken Word) (Album Version)\"",Joe Rogan,10,2000,0.0,217.10322,0.0,4,-14.031,0.2998774882739778,105.006,5
"\"Nova (originally from \"\"failure\"\")\"",Smut Peddlers,10,0,0.0,104.93342,0.0,2,-6.052,0.0,160.147,1
"\"Of Love & War (\"\"Harry Potter & The Half-Blood Prince\"\")\"",Nicholas Hooper,10,0,0.0,77.60934,0.0,8,-19.015,0.5782748931228445,155.659,4
"\"Slave To Love (7\"\" Version) (2009 Digital Remaster)\"",Bryan Ferry,10,0,0.0,240.03873,0.0,11,-7.664,0.2707759989463275,147.421,4
"\"The Marquis and the Scaffold (From \"\"Quills\"\")\"",Nick Ingman,10,0,0.0,186.61832,0.0,10,-23.333,0.23528047821920517,117.45,4
"\"Theme From \"\"Come September\"\" (LP Version)\"",Bobby Darin,10,2003,0.0,155.6371,0.0,0,-15.437,0.38293509007501925,108.462,4
"\"Then He Said_ \"\"Sing\"",Ivan Parker,10,0,0.0,207.90812,0.0,0,-9.826,0.278598087332016,91.964,4
"\"Wrote For Luck (12\"\" - Remastered version)\"",Happy Mondays,10,1988,0.0,342.59546,0.0,10,-9.616,0.34580223396532944,101.831,4
'Round the Wheel,DJ Harry,10,2001,0.0,495.90812,0.0,6,-9.706,0.24906579485370342,133.529,4
'Ti Monde (LP Version),BeauSoleil,10,1991,0.0,268.30322,0.0,5,-13.758,0.0,119.663,4
(Bloody Paw On The) Kill Floor,Busdriver,10,2007,0.0,192.1824,0.0,6,-6.258,0.5194030457366698,155.038,4
(Coffee's For Closers),Fall Out Boy,10,2008,0.0,275.3824,0.0,4,-3.214,0.685642423804993,155.038,4
(Coming With) Loving on My Mind,Tony Mathews,10,0,0.0,281.80853,0.0,1,-17.154,0.23148849455515036,70.26,4
(Do)Minion,Eluveitie,10,2010,0.0,307.69587,0.0,11,-4.367,0.6629861610396057,110.018,4
(I Heard That) Lonesome Whistle,Bobby Darin,10,1995,0.0,163.52608,0.0,5,-13.876,0.0,90.18,3
(I Wanna) Play A Little While,J.B.Lenoir,10,0,0.0,167.23546,0.0,8,-15.622,0.4051157216913865,157.532,4
(The Grave Prelude),Mobb Deep,10,1995,0.0,50.15465,0.0,10,-13.662,0.5943624888400596,93.785,4
(This Is Not A) Love Song (Live),Public Image Ltd,10,1983,0.0,388.28363,0.0,0,-16.433,0.263969820176701,132.506,4
(Wake Up) Time to Die,Lizzy Borden,10,1985,0.0,371.19955,0.0,5,-9.657,0.37598430150044215,107.886,4
(We Don't Need This) Fascist Groove Thang (Rapino Club Mix),Heaven 17,10,2009,0.0,354.19383,0.0,11,-12.183,0.21508031850922793,135.57,4
(eskomolto),Pagan Wanderer Lu,10,0,0.0,131.44771,0.0,2,-9.771,0.0,108.829,5
...and Heavens Cried Blood,Swallow The Sun,10,2009,0.0,377.75628,0.0,0,-6.317,0.6493981130367088,71.758,4
100%,Cocoa Tea,10,1992,0.0,228.96281,0.0,0,-11.627,0.0,115.862,5
1492,Scarlet's Remains,10,2005,0.0,215.90159,0.0,0,-8.039,0.48032936906108537,170.702,4
15 Step,Radiohead,10,2007,0.0,237.21751,0.0,1,-7.057,0.476435219642529,188.91,5
18 De Noviembre,Maracaibo 15,10,0,0.0,171.98975,0.0,2,-8.002,0.2998774882739778,181.002,1
4 Words (To Choke Upon),Bullet For My Valentine,10,2005,0.0,223.76444,0.0,8,-2.839,0.513189736125819,185.012,4
?o???? DJ,Intars Busulis,10,0,0.0,229.11955,0.0,0,-4.952,0.0,160.275,4
A B***** Is A B***** (Edited),N.W.A.,10,1989,0.0,168.75057,0.0,9,-8.91,0.0,97.099,4
A Baby's Born,James Ingram,10,1993,0.0,376.68526,0.0,2,-11.937,0.0,76.385,3
A Boy Who Can't Talk Part 2,Planet P Project,10,1984,0.0,74.762,0.0,7,-19.121,0.0,117.815,3
A Brazilian in New York,Luiz Bonfa,10,0,0.0,305.65832,0.0,4,-18.713,0.3552855364230894,105.813,4
A Brief History of Shitty Comedy,Patton Oswalt,10,2004,0.0,121.96526,0.0,8,-13.322,0.5096409655518045,75.669,3
A Brief Moment In The Sun,Nightswimmer,10,0,0.0,281.80853,0.0,0,-10.803,0.0,119.826,4
A Closure in Infinity,Goatwhore,10,2003,0.0,224.86159,0.0,7,-5.559,0.46054128135865785,97.073,1
A Costa De Galicia,Carlos Nuñez,10,2002,0.0,237.87057,0.0,0,-8.691,0.3277366831778408,113.156,3
A Day In The Life (Album Version),Jeff Beck,10,0,0.0,286.27546,0.0,4,-7.74,0.7714717530566267,145.917,1
A Devil's Ransom (Album Version),Bury Your Dead,10,2008,0.0,151.71873,0.0,11,-5.016,0.5466354885721183,134.054,4
A Different Kind of Love,Paul Simon,10,0,0.0,137.40363,0.0,9,-7.444,0.3016817567316363,133.884,4
A Disconsolate Winter Landscape,Crematorium,10,0,0.0,164.44036,0.0,8,-17.124,0.0,86.633,1
A Distant Voice,Sonny Simmons,10,0,0.0,443.24526,0.0,1,-13.002,0.2707759989463275,45.527,4
A Dustland Fairytale,Twinkle Twinkle Little Rock Star,10,0,0.0,238.52363,0.0,2,-19.938,0.0,80.003,4
A Dustland Fairytale,The Killers,10,2008,0.0,225.12281,0.0,11,-4.808,0.7603432374173373,134.734,1
A Fall Song,Cross Country,10,2009,0.0,168.77669,0.0,9,-11.724,0.21204540548371908,129.169,4
A Fiery Stride (Ltd. Edition Bonus),Elvenking,10,2004,0.0,299.31057,0.0,7,-5.157,0.36727341580934564,165.278,4
A Girls Oath,Eluveitie,10,0,0.0,78.18404,0.0,0,-14.481,0.650676968982036,111.127,3
A Good Life,Joe Grushecky,10,0,0.0,231.57506,0.0,7,-8.071,0.319565986882865,139.066,4
A Goodnight's Sleep,The Starting Line,10,2002,0.0,264.41098,0.0,9,-5.011,0.6528783924763947,142.069,4
A Guy What Takes His Time En Anglais,Marlene Dietrich,10,0,0.0,167.02649,0.0,0,-12.442,0.2998774882739778,81.674,7
A Hard Road,John And The Bluesbreakers Mayall,10,1967,0.0,304.8224,0.0,7,-6.356,0.5317220984213001,94.304,3
A La Memoria Del Muerto,Fruko Y Sus Tesos,10,2004,0.0,261.90322,0.0,10,-6.206,0.6971815422849269,106.769,4
A Little Bit Of This And A Little Bit Of That,Lee Ritenour / Jeff Mironov,10,1976,0.0,307.04281,0.0,0,-17.337,0.6525182172975935,157.582,4
A Little Of You,Eurythmics,10,1986,0.0,236.61669,0.0,1,-4.21,0.48512236410182064,111.122,4
