song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Liquid Mercury,Jimmy Page,10,4GkjkuWQFcelnsZYDWL1eY,20,0.427,0.486,2,-11.207,1,0.0499,0.00672,0.933,0.0385,0.539,149.553,183800,4
Bitch Is Back,LA Guns,10,03nJUVtnBJy0EfDWfSY81n,29,0.59,0.944,1,-7.258,0,0.0462,0.000312,0.00265,0.326,0.368,123.404,172733,4
Love Happens Just Like That LP Version,Bryan White,10,5J2dKcjbC3FzJUYUOWH6L9,8,0.703,0.794,1,-6.005,1,0.0337,0.0845,0.0,0.0506,0.861,107.734,166240,4
Are We Here ,Orbital,10,4Jt4zH1bLXLeRFsdE859jb,27,0.734,0.808,10,-9.053,1,0.0432,9.29e-05,0.893,0.0578,0.13,126.99,348653,4
Quiet Nights Of Quiet Stars Corcovado The Frank Sinatra Collection,Frank Sinatra,10,1FdulvpRiLgkseCz7RrNOR,44,0.388,0.255,0,-16.496,1,0.0332,0.77,0.0737,0.0838,0.25,107.426,165213,3
Rock America,Danger Danger,10,5zR2SIo0RncU1PNNNbMzsu,37,0.467,0.955,4,-8.285,1,0.0527,0.0599,3.93e-06,0.299,0.396,82.092,292867,4
Fortune Teller,The Rolling Stones,10,19pFzIY1yji9ZxDdrVg3sF,19,0.484,0.932,3,-8.28,1,0.114,0.162,0.0,0.0703,0.428,172.453,137507,4
Lift Joi Blarneyformasian,Azukx,10,5Jt1dVS92CIpKNYrQK0JXN,0,0.622,0.854,2,-8.131,1,0.0322,0.00367,0.943,0.102,0.458,121.146,295933,4
Setanta matins,Elena,10,1ZV1Ff9ebiB5pXpnC8Hfan,0,0.537,0.367,2,-6.547,1,0.0336,0.664,0.0455,0.0738,0.347,142.016,269351,4
'57 Chevrolet,Billie Jo Spears,10,0nbm4bvneAGlrp5wZKRHT8,43,0.604,0.681,9,-9.889,1,0.0252,0.407,3.08e-06,0.074,0.897,94.298,173627,4
Retarded Army,Rocky Whatule,10,0euClPHfxlE3l2QYStkHw5,0,0.358,0.982,10,-7.955,0,0.737,0.717,0.0,0.876,0.423,84.275,197667,4
