song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
King Of Suede,Weird Al Yankovic,6,0uTSpsec5kXkNQQjzt6dIB,23,0.78,0.808,11,-10.056,0,0.0382,0.271,0.0,0.0958,0.569,128.505,255373,4
King Of The Dancehall,Beenie Man,7,2vACumvzzT2ZngO2p7i3Gu,53,0.81,0.829,5,-5.646,0,0.108,0.34,0.0,0.0539,0.851,104.695,217107,4
King Of The Hill,Rick Pinette & Oak,3,2gCegLDNZ2R7trvdKdf1cS,26,0.239,0.693,11,-6.812,1,0.0339,0.0408,0.00019,0.342,0.0946,130.348,215984,4
King Of The Whole Wide World,Elvis Presley With The Jordanaires,2,72rPPmZ6pLgdYyqwLVGiTH,30,0.581,0.466,4,-11.344,1,0.0496,0.648,0.0,0.256,0.933,167.345,129804,4
King Tut,Steve Martin And The Toot Uncommons,1,0MOwFENfV5Q94mUU3F4Nk5,33,0.67,0.698,9,-13.009,1,0.136,0.361,0.0,0.459,0.935,125.144,130253,4
King Without A Crown,Matisyahu,2,3NkIfsiFHnljGrlXSD2AJ3,56,0.697,0.859,5,-5.306,0,0.19,0.0349,0.0,0.0931,0.696,93.78,222387,4
King Wizard,Kid Cudi,9,4bFOo0IbTRXQBXNWEpGxXX,52,0.723,0.613,8,-7.502,1,0.0812,0.0385,0.0314,0.111,0.378,139.988,256240,4
"King's Dead,Jay Rock, Kendrick Lamar", Future & James Blake,2,7xKm8coICOpNPWDlkDrrXW,3,0.419,0.465,1,-10.897,1,0.136,0.0144,0.882,0.101,0.0395,165.108,213451,4
Kingdom Come,JAY-Z,9,03LlYPDjtLO3rBd1WaJ9aD,43,0.453,0.941,8,-3.393,0,0.329,0.0461,0.0,0.0961,0.677,173.699,263520,4
Kings & Queens,Ava Max,1,7a53HqqArd4b9NF4XAmlbI,81,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4
Kings And Queens,Thirty Seconds To Mars,8,4sjLcE0GQ6urc4iUXsUPe9,62,0.293,0.817,8,-5.432,1,0.0852,0.0401,3.4e-05,0.13,0.145,165.0,347667,4
Kings And Queens,Aerosmith,6,0HwXmm9QsRiCbyWnwMIwnZ,44,0.343,0.704,5,-6.057,0,0.0304,0.0453,0.00283,0.128,0.371,122.927,295638,4
Kings Never Die,Eminem Featuring Gwen Stefani,7,4uX7M3U4I1nsZ7SFM4XNCn,60,0.771,0.896,4,-5.289,0,0.129,0.0275,0.0,0.204,0.0593,112.505,296133,3
Kings Of The Party,Brownsville Station,3,5bEwvSEv3zzgV6Wb6cpVwu,17,0.509,0.694,2,-11.975,0,0.3,0.262,2.05e-05,0.0707,0.567,175.764,256093,4
Kiss,Glee Cast,8,3MLWx8r8WhUAn0WDCtiBFy,49,0.687,0.756,9,-3.601,0,0.0596,0.00335,0.0,0.0663,0.623,130.043,179947,4
Kiss,The Art Of Noise Featuring Tom Jones,3,6zLlGJZHDh2CLaezoshSJ0,31,0.868,0.936,7,-4.574,0,0.193,0.0789,0.0,0.219,0.589,115.694,211947,4
Kiss A Girl,Keith Urban,1,4DyKZmONpoggnn3piyjad2,51,0.653,0.786,2,-5.418,1,0.0338,0.0103,2.19e-06,0.201,0.477,120.992,226733,4
Kiss An Angel Good Mornin',Charley Pride,2,37GWhu8R61gTStMvVQfDuE,60,0.665,0.512,4,-10.704,1,0.03,0.581,0.0,0.371,0.87,130.578,123467,4
Kiss And Make Up,Dua Lipa & BLACKPINK,9,7jr3iPu4O4bTCVwLMbdU2i,73,0.678,0.729,8,-4.188,1,0.137,0.0658,0.0,0.303,0.643,99.895,189173,4
Kiss And Tell,The Breakfast Club,4,7ATI60y5MSwyPDP2g7jlit,26,0.749,0.661,8,-12.14,1,0.0347,0.179,0.00159,0.027,0.964,94.798,262613,4
Kiss Away,Ronnie Dove,2,2zyR4szo2EukeZkCRw54ET,10,0.387,0.336,5,-11.756,1,0.0288,0.89,0.035,0.126,0.286,101.52,163267,4
Kiss Him Goodbye,The Nylons,1,7B3gX7qlXO8lbAZRcU3xhq,24,0.7,0.76,6,-8.227,1,0.0684,0.151,0.0,0.0981,0.369,124.956,214000,4
